ㄅㄚ,ba,八
ㄋㄢˋ,nàn,婻
ㄋㄢ˙,,　
ㄋㄣ,nen,黁
ㄋㄣˊ,,　
ㄋㄣˇ,,　
ㄋㄣˋ,nèn,嫩
ㄋㄣ˙,,　
ㄋㄤ,nang,囔
ㄋㄤˊ,náng,囊
ㄋㄤˇ,nǎng,攮
ㄋㄤˋ,nàng,儾
ㄋㄤ˙,nạng,囔
ㄋㄥ,,
ㄋㄥˊ,néng,能
ㄋㄥˇ,,　
ㄋㄥˋ,nèng,濘
ㄋㄥ˙,,
(ㄋㄦ),ner,呢
(ㄋㄦˊ),,　
(ㄋㄦˇ),,　
(ㄋㄦˋ),nèr,訥
(ㄋㄦ˙),nẹr,呢
ㄋㄧ,,
ㄋㄧˊ,ní,尼
ㄋㄧˇ,nǐ,你
ㄋㄧˋ,nì,逆
ㄋㄧ˙,,　
ㄋㄧㄝ,nieh,捏
ㄋㄧㄝˊ,niéh,苶
ㄋㄧㄝˇ,,　
ㄋㄧㄝˋ,nièh,聶
ㄋㄧㄝ˙,,　
ㄋㄧㄠ,,　
ㄋㄧㄠˊ,,
ㄋㄧㄠˇ,niaǒ,鳥
ㄋㄧㄠˋ,niaò,尿
ㄋㄧㄠ˙,,　
ㄋㄧㄡ,niou,妞
ㄋㄧㄡˊ,nioú,牛
ㄋㄧㄡˇ,nioǔ,紐
ㄋㄧㄡˋ,nioù,拗
ㄋㄧㄡ˙,,　
ㄋㄧㄢ,nian,蔫
ㄋㄧㄢˊ,nián,年
ㄋㄧㄢˇ,niǎn,碾
ㄋㄧㄢˋ,niàn,念
ㄋㄧㄢ˙,,　
ㄋㄧㄣ,,
ㄋㄧㄣˊ,nín,您
ㄋㄧㄣˇ,nǐn,拰
ㄋㄧㄣˋ,,　
ㄋㄧㄣ˙,,　
ㄋㄧㄤ,,
ㄋㄧㄤˊ,niáng,娘
ㄋㄧㄤˇ,,　
ㄋㄧㄤˋ,niàng,釀
ㄋㄧㄤ˙,niạng,娘
ㄋㄧㄥ,,
ㄋㄧㄥˊ,níng,寧
ㄋㄧㄥˇ,nǐng,擰
ㄋㄧㄥˋ,nìng,甯
ㄋㄧㄥ˙,,
(ㄋㄧㄨ),niu,妞
(ㄋㄧㄨˊ),niú,牛
(ㄋㄧㄨˇ),niǔ,紐
(ㄋㄧㄨˋ),niù,拗
(ㄋㄧㄨ˙),,　
ㄋㄨ,,
ㄋㄨˊ,nú,奴
ㄋㄨˇ,nǔ,努
ㄋㄨˋ,nù,怒
ㄋㄨ˙,,　
ㄋㄨㄛ,,
ㄋㄨㄛˊ,nuó,挪
ㄋㄨㄛˇ,nuǒ,娜
ㄋㄨㄛˋ,nuò,諾
ㄋㄨㄛ˙,　,　
ㄋㄨㄢ,,　
ㄋㄨㄢˊ,,
ㄋㄨㄢˇ,nuǎn,暖
ㄋㄨㄢˋ,,　
ㄋㄨㄢ˙,　,　
ㄋㄨㄣ,,
ㄋㄨㄣˊ,,
ㄋㄨㄣˇ,,
ㄋㄨㄣˋ,,
ㄋㄨㄣ˙,,
ㄋㄨㄥ,,
ㄋㄨㄥˊ,nóng,農
ㄋㄨㄥˇ,nǒng,繷
ㄋㄨㄥˋ,nòng,弄
ㄋㄨㄥ˙,,　
ㄋㄩ,,　
ㄋㄩˊ,,
ㄋㄩˇ,nyǔ,女
ㄋㄩˋ,nyù,恧
ㄋㄩ˙,,　
ㄋㄩㄝ,,　
ㄋㄩㄝˊ,,
ㄋㄩㄝˇ,,
ㄋㄩㄝˋ,nyuèh,虐
ㄋㄩㄝ˙,,
ㄌㄚ,la,拉
ㄌㄚˊ,lá,旯
ㄌㄚˇ,lǎ,喇
ㄌㄚˋ,là,辣
ㄌㄚ˙,lạ,啦
ㄌㄛ,,　
ㄌㄛˊ,,　
ㄌㄛˇ,,　
ㄌㄛˋ,,
ㄌㄛ˙,lọ,咯
ㄌㄜ,le,嘞
ㄌㄜˊ,,　
ㄌㄜˇ,,　
ㄌㄜˋ,lè,樂
ㄌㄜ˙,lẹ,了
ㄌㄞ,,
ㄌㄞˊ,laí,來
ㄌㄞˇ,,　
ㄌㄞˋ,laì,賴
ㄌㄞ˙,,　
ㄌㄟ,lei,勒
ㄌㄟˊ,leí,雷
ㄌㄟˇ,leǐ,壘
ㄌㄟˋ,leì,類
ㄌㄟ˙,leị,哩
ㄌㄠ,lao,撈
ㄌㄠˊ,laó,勞
ㄌㄠˇ,laǒ,老
ㄌㄠˋ,laò,烙
ㄌㄠ˙,,　
ㄌㄡ,lou,摟
ㄌㄡˊ,loú,樓
ㄌㄡˇ,loǔ,簍
ㄌㄡˋ,loù,漏
ㄌㄡ˙,loụ,喽
ㄌㄢ,lan,啉
ㄌㄢˊ,lán,藍
ㄌㄢˇ,lǎn,覽
ㄌㄢˋ,làn,爛
ㄌㄢ˙,,　
ㄌㄤ,lang,啷
ㄌㄤˊ,láng,郎
ㄌㄤˇ,lǎng,朗
ㄌㄤˋ,làng,浪
ㄌㄤ˙,,　
ㄌㄥ,,
ㄌㄥˊ,léng,稜
ㄌㄥˇ,lěng,冷
ㄌㄥˋ,lèng,愣
ㄌㄥ˙,,
(ㄌㄦ),ler,嘞
(ㄌㄦˊ),,　
(ㄌㄦˇ),,　
(ㄌㄦˋ),lèr,樂
